Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
Usir Dubes Myanmar dr Negri ini. Ksh peringatan ummat Budha di neg kita agar mrk menghimbau utk menghentikan penyiksaan kpd umat Islam dsna.,1,0,0,1,1,1,0,0,0,0,0,1
"USER Ancaman bom dari mata sipit, juga lucu2an ya... ?\n\n#LUCULUCUAN'",1,1,1,0,0,0,1,0,0,1,0,0
Pria Belanda Ini Jadi Mualaf Usai Ikuti Perjalanan Islam Nusantara Oleh NU di Eropa,0,0,0,0,0,0,0,0,0,0,0,0
USER Jancuk jancuk',0,1,0,0,0,0,0,0,0,0,0,0
USER Eh nurull kuliah dimana? Jurusan apa? Ha bahasa mandarin? Berarti kerja sama dong sama komunis ? Wah masih saudaraan dong sama g30spki',0,0,0,0,0,0,0,0,0,0,0,0
"Baca berita ormas yang mau ngelaporin pembacaan puisi oleh Ganjar Pranowo (karena dianggap menistakan agama) tapi ga jadi karena baru tahu itu ciptaannya Gus Mus, malah bikin keinget nonton final AFF 2010.",0,0,0,0,0,0,0,0,0,0,0,0
USER sedih gw baca komenannya nyalahin army taunya akun bodong. kampret dah.',0,1,0,0,0,0,0,0,0,0,0,0
Saya yakin pemerintahan Gus Ipul dan Puti ke depan akan memperkuat program Nawacita Presiden Jokowi di Jawa Timur. Salam 2 jari #GusIpulPutiSantun,0,0,0,0,0,0,0,0,0,0,0,0
USER Anjing menggonggong anies jalan terus,1,1,1,0,0,0,0,0,1,1,0,0
"harusnya pemerintah Indonesia mengeluarkan RUU Anti Budha, biar budha di Indonesia di usir dari Indonesia",1,0,0,1,1,0,0,0,0,0,1,0
"Kenapa gua jijiq? Gua mandangnya sebagai ""ORANG AWAM YANG GAK SUKA KPOP""! jadi mikir ""kan org korea tuh HOMO atau LESBI"" pdhl tuh idol kita mah di korea hidup tentram normal dan gua yakin sih bbrp idol udh punya pacar jadi wajar aja selama masih lawan je",0,1,0,0,0,0,0,0,0,0,0,0
Kapan punya program begini pak USER ditunggu pak...,0,0,0,0,0,0,0,0,0,0,0,0
OpRohingya Kristen membunuh di Afghanistan Yahudi membunuh di Palestina Islam membunuh dimana? Malah dicap teroris. Mikir,1,0,0,1,1,0,0,0,0,0,1,0
"USER Cara untuk mengosongkan masjid dengan jamaahnya, khas ala komunis.. \xf0\x9f\xa4\x94'",0,0,0,0,0,0,0,0,0,0,0,0
Mobile langend memang babi anjeng xnk kasi naik rank kimakkk team Noob babi bocahh setan',1,1,0,1,0,0,0,0,1,0,1,0
USER Bukan onta. Buroq itu kendaraan kita ke surga. Yaila',0,0,0,0,0,0,0,0,0,0,0,0
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???",0,0,0,0,0,0,0,0,0,0,0,0
USER Kelamaan jomblo nanti jablay :(',0,1,0,0,0,0,0,0,0,0,0,0
"Cinta itu memang buta, tapi jangan biarkan ia memilih yang salah.'",0,0,0,0,0,0,0,0,0,0,0,0
"#RRIBantenPagiIni; ; Diduga Masalah Ekonomi, Seorang Guru SD Nekat Gantung Diri",0,0,0,0,0,0,0,0,0,0,0,0
"Su Pin siswi SD Katolik Karya Yosef Kelas 6B, 1983, istrinya Ronaldo Pardede yang sah.'",0,0,0,0,0,0,0,0,0,0,0,0
hestek tandingan dr #PersibTakutMainDiJakarta nggak nyambung dg fakta yg beredar .\n#VikingAnjing\n#PerSSIb\n#persLIB\n#LigaIndonesiaBandung\n#BotolKosong nyaring bunyinya macam congor mereka \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x9d\xf0\x9f\x98\x,1,1,0,1,0,0,0,0,1,0,1,0
"3. Presiden USER menyampaikan bahwa dalam waktu dekat ini akan digelar 171 pemilihan kepala daerah (pilkada) secara serentak baik pilkada gubernur, bupati dan wali kota #JokowiAjakUlamaSejukkanPilkada",0,0,0,0,0,0,0,0,0,0,0,0
Apakah ini HOAX?? colek USER USER USER,0,0,0,0,0,0,0,0,0,0,0,0
PapaMintaKetuaFraksi rakyat mau nya setya novanto keluar dari dpr bukan di pecat dari ketua dpr percuma saya di pecat dan masih ada di dpr,1,0,1,0,0,0,0,0,1,1,0,0
USER kalo saya ketawa sipit dua duanya? itu kenapa?',0,0,0,0,0,0,0,0,0,0,0,0
USER Gue terus terang buat kasus bom gak percaya 100%. Tapi knp juga sekarg gak bisa 100% satu suara sama lu sperti dulu. Bnyak yg hilang. Ya mungkin lagi bulan puasa bulan yg baik untuk hijrah.',0,0,0,0,0,0,0,0,0,0,0,0
Program18: Melindungi sepenuhnya seluruh produk warisan budaya / ekspresi budaya tradisional dan hak cipta para seniman. USER #Asyikm3nang #Asyikm3nang,0,0,0,0,0,0,0,0,0,0,0,0
Tak ada persatuan dengan para PKI. Silahkan rekonsiliasi dengan cebong yang dungu sekolam.,1,1,0,1,0,0,0,0,1,0,1,0
USER Banci bgt anjg mantan lo',1,1,1,0,0,0,0,1,0,1,0,0
"Mari ingatkan sekaligus dukung pemerintah, utk tetap kelola ekonomi &amp; kesejahteraan rakyat, meskipun kita berada di tahun politik *SBY*",0,0,0,0,0,0,0,0,0,0,0,0
USER Apa lagi memek yg ga ada bulunya lebih mantap di jilatnya',0,1,0,0,0,0,0,0,0,0,0,0
USER Perbedaan itu harus terbiasa dalam alam Demokrasi sekarang ini...jangan Orang2 Rezim yg sekarang ini pro Penguasa...gerah gitu dgn perbedaan ...Dulu juga Partai yg sekarang berkuasa sering kok demo..kritik..',0,0,0,0,0,0,0,0,0,0,0,0
"RT USER: Main layangan\n\n\xf0\x9f\x91\xa6 benang kuat kan, takut putus nanti\n\n\xf0\x9f\x91\xa8 ga mungkin putus, kita jarang berantem\n\n\xf0\x9f\x91\xa6 tai\n\n-gobs'",0,1,0,0,0,0,0,0,0,0,0,0
"USER USER Udah gak bisa nangkep kalimat dari awal, sok pinter sekolam. Pake ngata2in islam, Kasihan banget temen cebong lo yang islam, udah mah mati2an belain cebong kapir. Gak taunya agama islam di hina2 sama cebong kapir nih satu hahaha nas",1,1,0,1,1,0,0,0,0,0,1,0
Saya suka video USER URL Awal Kisah Perseteruan Haji Bolot &amp; Malih Tongtong',0,0,0,0,0,0,0,0,0,0,0,0
USER Cewe gila. Sinting. Freak',1,1,1,0,0,0,1,0,0,1,0,0
"USER kalau pemahaman ana Hina disitu pandangan diri kita tehadap tuhan besar kepala takabur. Sombong.. Pada zat nya air yang d maksudkan suci.. Allah juga mngangkat drajat manusia pada mahluk tertinggi dibanding malaikat, jin, iblis dan hewan.'",0,0,0,0,0,0,0,0,0,0,0,0
"LINMAS WILAYAH TAWANGSARI, BULU &amp; WERU TERIMA PEMBEKALAN PAM PILKADA SERENTAK",0,0,0,0,0,0,0,0,0,0,0,0
"muke lu katrok, tampang & kelakuan sinkron",1,1,1,0,0,0,1,0,0,1,0,0
USER USER USER Yang mulai ngatain cebong juga kaum codot....playing victim much?',1,1,0,1,0,0,0,0,1,0,1,0
USER Iya edan kaya lu',1,1,1,0,0,0,1,0,0,1,0,0
#2019GantiPresiden scra konstitusional itu hak setiap rakyat woii! . Gini nih kalo klo planga plongo tp kelakuan otoriter.,1,1,1,0,0,0,0,0,1,1,0,0
"Dlm agama Kristen, kita diajarkan tdk boleh saling menghakimi....silahkan, jika diperbolehkan pd agama sobat",0,0,0,0,0,0,0,0,0,0,0,0
Nama: Andi Taufan Tiro Status: Terpidana Kasus: Korupsi Mendukung Anies-Sandi,1,0,1,0,0,0,0,0,1,1,0,0
Sudahkah Anda Di Tipu Jokowi Hari Ini ?,1,0,1,0,0,0,0,0,1,1,0,0
